x,y,p
4.07599,58.788548,0.0
7.290647,-45.61224,0.0
15.03767,13.640596,0.0
23.073774,61.176945,0.0
-28.244474,-4.5450344,0.0
-1.0322057,-20.32555,0.0
-5.641538,32.670753,0.0
44.04294,37.02396,0.0
-0.9790366,41.88255,0.0
-31.125278,1.6048397,0.0
15.322411,59.8412,0.0
9.781229,-35.731518,0.0
56.331955,23.142546,0.0
25.54867,63.004513,0.0
8.081273,-22.829891,0.0
49.250187,-4.8492618,0.0
38.79944,10.6455965,0.0
-10.664788,16.236742,0.0
6.4583635,-36.082333,0.0
-9.082926,8.542701,
-14.067339,39.07815,0.0
-47.956577,-35.504623,0.0
21.709469,21.425154,0.0
1.2137833,-19.22463,0.0
-12.030339,-14.596333,0.0
-52.703953,10.841048,0.0
2.5413356,-20.610067,0.0
-24.57382,22.703682,0.0
-36.24394,10.525507,0.0
28.091644,-23.09506,0.0
14.262228,-49.337242,0.0
0.34633106,-0.22612101,0.0
16.17572,-47.541656,0.0
-46.106792,-23.037052,0.0
53.867798,43.213867,0.0
-21.747585,53.25811,0.0
33.1288,-12.775787,0.0
1.9449369,-32.982483,0.0
-40.36498,-32.0387,0.0
-21.16694,11.741276,0.0
-22.902811,0.6280634,0.0
18.043976,37.765755,0.0
37.33271,-23.68431,0.0
4.511129,58.146744,0.0
35.51506,-38.915443,0.0
45.456665,-30.214386,0.0
24.355778,-44.80152,0.0
1.1730494,-22.39105,0.0
-27.687347,15.105563,
-10.957043,-1.8293619,0.0
-0.19023484,-37.556133,0.0
51.480103,5.8213415,0.0
44.049835,24.512774,0.0
4.9635887,-42.48675,0.0
-29.323605,6.319154,0.0
47.609524,-0.35683143,0.0
7.2107673,-36.466885,0.0
-53.47488,24.391619,0.0
8.675038,-42.784557,0.0
22.29648,3.1036856,0.0
24.877918,-43.560028,0.0
-6.5969176,-11.499759,0.0
-15.67917,-27.299683,0.0
42.749027,-18.026255,0.0
-18.684435,34.694324,0.0
-8.537774,-23.802351,0.0
20.266542,-18.91102,0.0
64.26778,-0.99876,0.0
-48.797535,25.97792,0.0
-53.23384,-13.965961,0.0
-15.756666,45.44794,0.0
16.971544,36.445053,0.0
-38.98926,1.1494925,0.0
2.181847,-39.912903,0.0
16.143192,-47.324318,0.0
7.417306,0.12074146,0.0
-17.986315,15.380389,0.0
-11.094751,-43.49059,0.0
6.9928536,-46.985477,0.0
16.75476,8.994932,0.0
4.3603764,31.362455,0.0
-10.127751,-27.980896,0.0
-24.671453,11.806483,0.0
-39.44533,-31.020248,0.0
10.93663,-35.50465,0.0
3.8081357,58.178104,0.0
-8.001834,62.420937,0.0
-14.4231615,4.4243746,0.0
32.632248,58.518642,0.0
44.29232,46.251003,0.0
-33.805553,11.121634,0.0
-4.501221,-23.9717,0.0
43.074005,-12.135473,0.0
-54.483936,28.43168,0.0
-38.77316,49.003117,0.0
-36.955887,49.659245,0.0
24.3418,-21.854252,0.0
-17.778072,-31.2663,1.0
-49.03296,-22.657225,0.0
28.24593,-6.5724187,0.0
-21.067236,-0.86017144,0.0
-13.466704,28.116869,0.0
46.12877,-22.770454,0.0
-11.694582,64.3122,0.0
9.425915,40.02732,0.0
-25.130642,-34.718643,0.0
26.457811,16.03712,0.0
-46.23294,-38.792603,0.0
23.433924,62.980137,0.0
34.733395,44.23292,0.0
18.678633,3.9107907,0.0
-49.399193,-1.2070056,0.0
44.34262,49.915424,0.0
-52.58597,-14.161993,0.0
42.928303,-3.0022347,0.0
-12.953421,-32.772255,0.0
-1.4848797,-2.701325,0.0
-23.188625,6.883788,0.0
14.016765,-4.5071554,0.0
28.45025,20.939465,0.0
-31.21602,20.462633,0.0
-1.7884582,-4.742506,0.0
-23.613663,45.53512,0.0
-9.324713,-38.385593,0.0
-23.473791,-17.616009,0.0
50.028698,-3.1577747,0.0
8.228643,31.162336,0.0
-55.351612,-27.588644,0.0
33.854485,-17.245338,0.0
-47.611744,-13.08541,0.0
23.979376,-25.634403,0.0
12.763354,17.472599,0.0
12.578271,-32.18561,0.0
23.722393,-27.19474,0.0
-20.97989,21.532673,
-3.4237955,5.9047728,0.0
3.5951564,-24.447283,0.0
-39.92483,-27.614334,
63.63163,0.73038805,0.0
25.434898,-9.324597,0.0
-37.723835,5.1002116,0.0
50.883,13.954225,1.0
14.091688,-12.802582,0.0
42.033512,-20.513105,0.0
49.34366,-3.103667,0.0
13.600204,25.318306,0.0
5.66543,-47.669647,0.0
-35.91314,-33.20634,0.0
12.969462,-9.868412,0.0
42.34372,46.922775,0.0
42.247368,32.407364,0.0
-53.81938,20.562468,0.0
-14.409084,-0.8369655,0.0
2.5032692,-6.311158,0.0
30.066917,4.4768877,0.0
19.504118,-30.624321,0.0
13.106308,-20.252705,0.0
-39.76719,-31.165083,0.0
15.479331,68.53381,0.0
-46.658886,-26.566788,0.0
-32.615852,-13.391746,0.0
34.918392,-26.84394,0.0
27.612808,-30.833042,0.0
-40.02434,45.33796,0.0
-36.18874,8.136167,0.0
-29.69819,3.4895275,0.0
4.845062,-21.742672,0.0
48.64055,4.2530355,0.0
-7.683675,-37.203,0.0
-52.07167,6.8868403,0.0
47.42393,38.560947,0.0
33.18592,27.281176,0.0
22.628992,55.18509,0.0
-10.217726,-21.398632,0.0
-4.020216,4.763336,0.0
-7.459773,-12.754275,0.0
22.623938,49.127125,0.0
-11.576175,18.551014,0.0
20.37701,-20.105288,0.0
-38.654976,8.805106,0.0
5.9770517,-16.477713,0.0
-0.34192213,7.4987555,0.0
49.486958,14.093787,0.0
-46.305645,-37.35855,0.0
17.423264,20.703735,0.0
-6.6401973,-12.946448,0.0
-31.28449,3.2324502,0.0
-44.441338,-20.371618,0.0
-15.045217,6.412154,0.0
47.44621,-26.712732,0.0
-1.112418,49.951603,0.0
-1.1080091,11.794226,0.0
54.021523,43.588024,0.0
33.36197,-24.10906,0.0
-10.481727,34.959652,
25.154259,33.426826,0.0
-22.445108,53.765793,0.0
-11.5947275,10.650621,0.0
23.450645,-47.454895,0.0
15.76349,-24.382366,
-24.07013,43.260895,0.0
-49.34372,-11.799148,0.0
13.85121,60.390274,0.0
6.9379025,-6.375013,0.0
-46.42196,-17.67211,0.0
-13.722682,-12.659953,0.0
-37.965153,6.8655667,0.0
11.43442,-27.972578,0.0
10.176318,35.80552,0.0
-9.181211,-42.28021,0.0
-6.573808,18.55111,0.0
45.466778,-30.25807,0.0
-39.810585,-30.095118,0.0
29.027367,-3.8309364,0.0
0.79300755,44.732567,0.0
-27.279684,1.9604658,0.0
16.32691,-33.96494,0.0
11.027194,-28.999395,0.0
35.649136,-19.734156,0.0
-40.327957,-29.879898,1.0
65.63679,19.27576,1.0
17.455553,17.537386,0.0
-11.50104,-22.836664,0.0
21.739555,-28.759775,0.0
17.935463,29.13441,0.0
-36.974552,49.009205,0.0
7.3378935,51.463913,
-1.7341006,-10.645023,0.0
-46.75762,0.2960578,0.0
4.817496,47.880962,0.0
22.187954,53.273342,0.0
-6.8988857,-23.702118,0.0
14.566415,21.720974,0.0
-6.9671893,-19.420473,0.0
8.774525,-22.052172,0.0
16.75765,45.49206,0.0
15.709952,23.438747,0.0
-38.006054,48.76498,0.0
20.061924,12.4536295,0.0
12.609963,-49.239635,0.0
-36.58247,-24.898073,0.0
-33.203503,-14.910804,0.0
-52.671806,-26.261492,0.0
-52.594284,-19.736206,0.0
-11.927683,17.946802,0.0
-52.217262,-9.989905,0.0
26.97697,-13.442487,0.0
12.205876,-49.45508,0.0
-11.4865055,36.700394,0.0
18.854378,-31.911411,0.0
4.9212976,-21.50796,0.0
-26.826666,-10.887002,0.0
10.1534815,17.532469,0.0
5.4152627,-17.512484,0.0
-22.831255,9.926811,0.0
19.321514,-30.63491,0.0
7.0311007,-17.17856,0.0
24.192848,11.039266,0.0
-32.906418,-14.844368,0.0
65.12578,-0.6344242,0.0
3.8064709,-9.882903,0.0
41.793484,-20.419428,0.0
35.889507,-42.118065,0.0
